id,name,text,trans
0000000000000,咲季,今日はここで1日サバイバルねっ！,今天要在这里进行一天的生存挑战呢！
0000000000000,{user},残念ながら違います。\nキャンプ場のウリを宣伝してください。,很遗憾，不是这样的。\n请宣传一下露营地的特色。
select,,鍾乳洞です,是钟乳洞
select,,トレイル\nコースです,是徒步\n路线
select,,ラフティング\nです,是漂流
0000000000000,咲季,そういえば聞いたことあるわね。\n楽しそうじゃない！,说起来我听说过呢。\n听起来很有趣不是吗！
0000000000000,{user},すごい体力だ。こういったジャンル\nは敵なしだな……！,体力真厉害。在这种类型的活动上\n简直无人能敌啊……！
0000000000000,咲季,準備は抜かりなしよ。\nわたしにピッタリじゃない♪,准备得万无一失。\n这正适合我♪
0000000000000,{user},すごい体力だ。こういったジャンル\nは敵なしだな……！,体力真厉害。在这种类型的活动上\n简直无人能敌啊……！
0000000000000,咲季,いいじゃない！　ここのことを\n知ってから、やりたかったのよ！,不错吧！自从知道这里的事情后，\n就一直想试试呢！
0000000000000,{user},すごい体力だ。こういったジャンル\nは敵なしだな……！,体力真厉害。在这种类型的活动上\n简直无人能敌啊……！
info,adv_pevent_002_hski_sales_3-006-02.txt,,
译者,deepseek-chat,,
