id,name,text,trans
0000000000000,リーリヤ,か、観光大使……わたし、日本に\n来たばかりなのに……。,观、\n观光大使……我、我才刚来日本没多久呢……。
0000000000000,{user},むしろ独特な視点から宣伝できる\nのでは？　たとえば……,反而可以从独特的角度进行宣传吧？\n比如……
select,,スウェーデンの\n人に向けて,面向瑞典人
select,,日本で見て\n面白かったもの,在日本看到的\n有趣的东西
select,,アニメや\nマンガを,动漫和漫画
0000000000000,リーリヤ,え、それでいいんですか……？\nなににしようかな……,诶，这样可以吗……？\n该选什么呢……
0000000000000,{user},スウェーデンとの違いを語った。\n葛城さんにしかできない宣伝方法だ。,讲述与瑞典的不同之处。\n这是只有葛城同学才能做到的宣传方式。
0000000000000,リーリヤ,そうですね……清夏ちゃんと行った\n和菓子カフェでしょうか。,是啊……比如和清夏一起去过的\n和果子咖啡店。
0000000000000,{user},スウェーデンとの違いを語った。\n葛城さんにしかできない宣伝方法だ。,讲述与瑞典的不同之处。\n这是只有葛城同学才能做到的宣传方式。
0000000000000,リーリヤ,分かりました……！\nええと、天川が舞台の作品は……,我明白了……！\n嗯，以天川为舞台的作品是……
0000000000000,{user},スウェーデンとの違いを語った。\n葛城さんにしかできない宣伝方法だ。,讲述与瑞典的不同之处。\n这是只有葛城同学才能做到的宣传方式。
info,adv_pevent_002_kllj_sales_2-003-02.txt,,
译者,deepseek-chat,,
